Kategori,Nama_minuman,Nutri_Score,Energy (Per 100 ml),Fat (Per 100 ml),Saturated fat (Per 100 ml),Carbohydrates (Per 100 ml),Sugars (Per 100 ml),Fiber (Per 100 ml),Proteins (Per 100 ml),Salt (Per 100 ml)
fruit-juices,Cappy pulpy,e,155.0,0.0,0,9,7,,0.0,0.05
fruit-juices,PRESSup,c,226.0,0.1,0,13,5.5,0.1,0.4,2.5e-06
fruit-juices,Press up,c,226.0,0.1,0,13,5.5,0.1,0.4,0.0025
fruit-juices,Shot de gingembre bio,c,142.0,0.5,0.1,7.9,7.6,0,0.5,0.01
fruit-juices,Jutos,d,66.8,0.0,0,10,8,0,0.0,0.05
fruit-juices,Pago Ace - Orange - Carotte - Citron,e,168.0,0.5,0.1,9.2,9.2,,0.5,0.0
fruit-juices,Succo di limone,b,117.0,0.5,0.1,2.2,2.2,0.5,0.4,0.01
fruit-juices,Press Up mini,e,157.0,0.0,0,8.7,4.5,0.2,0.1,2.5
fruit-juices,ice POMME 1.5l,e,243.0,0.0,0,9.9,9.8,,0.0,0.02
fruit-juices,Orangensaft,c,182.0,0.0,0,8.9,8.9,0.6,0.8,0.0
fruit-juices,Simon life,d,84.0,0.1,0,4.8,4.8,,0.0,0.03
fruit-juices,Juicy Oranges Whole Fruit Squash,e,672.0,0.0,0,41,41,,0.0,0.0
fruit-juices,Pulpy pècne,e,143.0,0.0,0,7.9,7.9,,0.0,0.01
fruit-juices,"Tropicana 100% oranges pressées sans pulpe format familial 1,5 L",c,182.0,0.0,0,8.9,8.9,0.6,0.8,0.0
fruit-juices,Mélanges de fruits,d,224.0,0.0,0,12.8,12.8,,0.3,0.01
fruit-juices,1L PUR JUS ORANGE JOKER NEW,c,172.0,0.0,0,9,8.5,0,0.8,0.0
fruit-juices,Jus d'orange sans pulpe,c,181.0,0.05,0.01,9,9,,0.7,0.02
fruit-juices,Frutas Mezcladas,d,222.0,0.0,0,12.8,12.8,,0.3,0.01
fruit-juices,Jus d'orange,e,205.0,0.0,0,12,11.2,0,0.1,0.0
fruit-juices,Jutos,d,188.0,0.0,0,11.4,10.7,6111242106933,0.0,0.5
fruit-juices,FA-BU-BLEU,c,172.0,0.0,0,10,9.3,,0.0,0.0
fruit-juices,Pur jus de citron,b,133.0,0.8,0.2,1.7,1.7,0,0.0,0.0
fruit-juices,Abtal,e,205.0,0.0,0,12,11.2,,0.1,0.0
fruit-juices,"Shot de Mangue, gingembre, citron vert",b,131.0,0.333,0.0667,6,5.8,0.333,0.333,0.0667
fruit-juices,Super Smoothie Antioxydant,d,230.0,0.5,0.1,13,11,1.1,0.5,0.1
fruit-juices,Jafaden,c,184.0,0.5,0.1,9.7,9.7,0.5,0.6,0.01
fruit-juices,PET 1.5L PUR JUS ORANGE JOKER,c,176.0,0.0,0,8.6,8.6,,0.6,0.01
fruit-juices,Minute maid orange,c,176.0,0.0,0,8.7,8.7,,0.7,0.0
fruit-juices,Le Bio Orange,c,144.0,0.0,0,8.2,8.2,0.5,0.5,0.0
fruit-juices,Tropicana Multivitamines 1 L,e,204.0,0.0,0,12,10.7,0,0.0,0.0
fruit-juices,Tropicana 100% oranges pressées avec pulpe 1 L,c,179.0,0.0,0,8.6,8.6,0.8,0.8,0.0
fruit-juices,Jus joker multifruit,d,197.0,0.0,0,11,10,,0.0,0.0
fruit-juices,Jutos,e,191.0,0.0,0,11.4,10.7,0,0.0,0.5
fruit-juices,Le fruit Orange sans pulpe,c,178.0,0.0,0,8.7,8.7,,0.6,0.01
fruit-juices,Bio gyömbér shot,c,163.0,0.5,0.1,7.9,7.6,,0.5,0.025
fruit-juices,Disfruta Frutas Y Vitaminas Brik imp,b,105.0,0.1,0,5.6,4.8,,0.2,0.01
fruit-juices,Pur jus de citron,b,133.0,0.8,0.2,1.7,1.7,0,0.0,0.01
fruit-juices,100% jus à base de jus concentrés et de purées,c,207.0,0.5,0.1,11,11,,0.5,0.0
fruit-juices,Tropicana Multivitamines format familial 1.5 L,c,199.0,0.0,0,11,11,0.6,0.5,0.0
fruit-juices,brilliant beetroot,c,176.0,0.1,0,9.3,9.3,,0.9,0.0
fruit-juices,Ginger Turmeric Shot,b,134.0,0.5,0.1,5.8,5.7,0.2,0.5,0.01
fruit-juices,Blackcurrant Squash,d,77.0,0.0,0,4.3,4.2,,0.0,0.06
fruit-juices,SIMON LIFE,d,84.0,0.0,0,4.8,4.8,,0.1,0.075
fruit-juices,Jus de pomme,c,192.0,0.1,0,10,10,0,0.5,0.01
fruit-juices,Jus de pomme pur jus,c,197.0,0.1,0.1,11,10.5,,0.1,0.01
fruit-juices,Apple Juice,d,193.0,0.1,0.1,10.4,9.9,0.5,0.1,0.01
fruit-juices,Double Concentrate Apple & Blackcurrant Squash No Added Sugar,d,75.0,0.0,0,2.4000000953674,2.4000000953674,0,0.0,0.25
fruit-juices,Pineapple juice. Saft Ananas Saft,d,210.0,0.0,0,11.5,11.5,0.2,0.4,0.01
fruit-juices,Innocent jus tutti frutti 900ml,e,185.0,0.0,0,11,9.5,,0.0,0.0
fruit-juices,Marrakech orange 1l,c,209.0,0.0,0,11,11,1.2,0.7,0.00762
fruit-juices,Rostoy melocotón 1l,d,230.0,0.0,0,13.3,13.3,,0.3,0.0
fruit-juices,Pur jus citron bio,b,118.0,0.5,0.1,1.7,1.7,,0.5,0.01
fruit-juices,Pj pomme pet 1l,c,175.0,0.0,0,10,10,0,0.1,0.01
fruit-juices,"Innocent myrtille, cassis, pomme, cranberry",c,192.0,0.333,0.0667,11.3,10,0.333,0.333,0.00667
fruit-juices,Lemon juice,b,84.0,0.5,0.1,15,0.5,0.5,0.5,0.01
fruit-juices,Innocent Smooth Orange Juice,d,149.0,0.5,0.1,7.8,7.8,0.7,0.7,0.01
fruit-juices,100% oranges sans pulpe,b,149.0,0.5,0.1,7.8,7.8,0.7,0.7,0.01
fruit-juices,Pure Squeezed Orange Juice Smooth Not From Concentrate,c,180.0,0.0,0,10,10,,0.6,0.01
fruit-juices,Zumo pura naranja con pulpa,d,189.0,0.1,0,9.9,9.3,0.8,0.7,0.0
fruit-juices,Valencia 100% jus orange 1l,e,209.0,0.0,0,10.9,10.9,0,0.7,0.0
fruit-juices,L'original - Jus de pomme pétillant,d,195.0,0.0,0,11.5,10,,0.0,0.01
fruit-juices,Jus d'orange avec pulpe,c,156.0,0.0,0,7.8,7.8,0.85,0.7,0.0
fruit-juices,Zest Défense,c,171.0,0.0,0,10,9.33,,0.0,0.0
fruit-juices,Énergie Chérie,e,180.0,0.01,0.01,10,9.8,0,0.18,0.0
fruit-juices,Apfelsaft aus Apfelsaftkonzentrat,c,190.0,0.1,0.1,10.5,10,,0.1,0.01
fruit-juices,Raw Boost,e,201.0,0.3,0.1,10,8.3,0.7,0.4,0.01
fruit-juices,100% Pur jus oranges,c,172.0,0.1,0,9.1,9.1,0.6,0.6,0.0
fruit-juices,Tasty Summer Fruits,c,75.0,0.0,0,4.3,4.3,0,0.0,0.0
fruit-juices,Jus d'orange sans pulpe,b,149.0,0.5,0.1,7.8,7.8,0.7,0.7,0.01
fruit-juices,,e,225.0,0.0,0,13,12,0.5,0.0,0.05
fruit-juices,JOKER LE BIO MULTIFRUIT 1L,c,167.0,0.0,0,9.3,8.6,0,0.0,0.0
fruit-juices,100% Pur Jus - Pomme,c,197.0,0.0,0,10,10,0,0.0,0.01
fruit-juices,Pressed Apple Juice Not From Concentrate,d,207.0,0.0,0,11.2,11.2,0.5,0.3,0.1
fruit-juices,Le Fruit - Orange sans pulpe,c,178.0,0.0,0,8.7,8.7,0,0.6,0.01
fruit-juices,Zumo Juver Disfruta Piña Brik 1L,d,105.0,0.1,0,5.7,4.5,0.01,0.2,0.1
fruit-juices,PET 1L JOKER LE FRUIT POMME,c,188.0,0.0,0,10,9.8,,0.0,0.0
fruit-juices,100% pur jus orange sans pulpe,c,187.0,0.5,0.1,10.1,8.5,0.5,0.7,0.01
fruit-juices,Smooth Orange Juice,c,172.0,0.0,0,9.3,8.6,0,0.8,0.0
fruit-juices,Zumo naranja,c,187.0,0.1,0,10,10,0,0.6,0.0
fruit-juices,100% pur jus orange sans pulpe,c,160.0,0.0,0,8.7,8.7,,0.7,0.0
fruit-juices,Tropicana Pamplemousse rose 1 L,c,164.0,0.0,0,7.6,7.6,0.9,0.5,0.0
fruit-juices,Innocent jus pomme & framboise 900ml,c,181.0,0.0,0,10,9.33,0.667,0.193,0.0
fruit-juices,Ice pomme 33cl,e,243.0,0.0,0,14.3,14.3,,0.0,1.6
fruit-juices,Jutos,e,167.0,0.0,0,10,8,0,0.0,20.0
fruit-juices,Pur jus de citron,b,116.0,0.0,0,2,2,0,0.0,0.0
fruit-juices,apple juice,d,180.0,0.0,0,11,9.5,0.5,0.2,0.0
fruit-juices,Limón exprimido,c,125.0,0.0,0,7.1,0.01,,0.0,1.5
fruit-juices,Cranberry drink,e,154.0,0.1,0,8.4,8.4,0,0.1,0.03
energy-drinks,Redbull,e,192.0,0.0,,11,11,,0.0,0.1975
energy-drinks,Lemon,d,75.2,0.0,,4.4,4.4,,0.0,0.05
energy-drinks,25 cl Red Bull - Energy Drink,e,195.0,0.0,0,11,11,,0.0,0.1
energy-drinks,Red Bull sugarfree,c,13.0,0.0,,0,,,0.0,0.105
energy-drinks,Sting,e,117.0,0.0,0,7,6.8,,0.0,0.1025
energy-drinks,Energizant HELL,e,192.0,0.0,0,11,11,,0.0,0.5
energy-drinks,Sting,e,176.0,0.0,0,11,10,0,0.0,0.04
energy-drinks,Red Bull Original,e,192.0,0.0,,11,11,,0.0,0.1
energy-drinks,monster,e,201.0,0.0,0,12,11,0,0.0,0.199
energy-drinks,Kong Strong - Sugar Free,c,15.0,0.0,0,0.1,0.1,0,0.4,0.23
energy-drinks,Rejuvenate Natural Energy,b,84.0,0.0,0,3.9,3.9,0,0.0,0.0
energy-drinks,BTE 25CL RED BULL SANS SUCRE,c,13.0,0.0,0,0,0,0,0.0,0.1
energy-drinks,Monster Energy Ultra,c,10.0,0.0,0,0.9,0,0,0.0,0.2
energy-drinks,Burn,e,261.0,0.0,0,14.4,14.4,,0.0,0.0
energy-drinks,Red Bull 250ml,e,192.0,0.0,,11,11,,0.0,0.0975
energy-drinks,Monster Energy Ultra,c,10.0,0.0,0,0.88,0,0,0.0,0.2
energy-drinks,Monster Energy Original,e,201.0,0.0,,12,11,,0.0,0.19
energy-drinks,Kong Strong,e,98.0,0.0,0,4.9,4.9,,0.4,0.23
energy-drinks,BTE 50CL MONSTER MANGO LOC,e,155.0,0.0,,9.4,8.6,,0.0,0.3
energy-drinks,redbull sugarfree,c,13.0,0.0,,0,,,0.0,0.0975
energy-drinks,Boisson énergisante,e,192.0,0.0,0,11,11,0,0.0,0.1
energy-drinks,Mango loco bebida energética con taurina y ginseng,e,203.0,0.0,0,12,11,,0.0,0.05
energy-drinks,Redbull pasteque,e,190.0,0.0,0,11,11,0,0.0,0.1
energy-drinks,Monster Energy zéro sucre,c,71.0,0.0,0,1,0,,0.0,0.2
energy-drinks,BTE 50CL MONSTER PIPELIN PUNCH,e,155.0,0.0,0,8.7,8.6,,0.0,0.04
energy-drinks,Monster energy zero sugar Lewis hamilton,c,13.0,0.0,0,0.8,0,0,0.0,0.16
energy-drinks,BTE 50CL MONSICK ULIRA ZERO,c,8.0,0.0,0,0.9,0,,0.0,0.2
energy-drinks,Waldbeere Zero,b,8.0,0.0,,0,,,0.0,0.25
energy-drinks,PET 1L ENERGY CRAZY TIGER,d,86.0,0.0,0,4.4,4.4,,0.5,0.19
energy-drinks,Powerade gout cerise,d,71.0,0.11,0,3.9,3.9,0,0.0,0.13
energy-drinks,Sting,e,176.0,0.0,0,11,10,0,0.0,0.0
energy-drinks,Bebida Isotonica,d,79.0,0.0,0,4.4,4.4,0,0.0,0.06
energy-drinks,Red Bull Blue Edition,e,192.0,0.0,0,11,11,0,0.0,0.1
energy-drinks,Original energy drink,e,155.0,0.0,,8.9,4.5,,0.0,0.000225
energy-drinks,Tropical punch,c,21.0,0.0,0,1,0.5,0,0.0,0.02
energy-drinks,Monster Energy,e,203.0,0.0,,12.3,11.4,,0.0,0.196
energy-drinks,HOLY Energy,b,15.0,0.1,0.1,0.3,0.1,0.3,0.2,0.1
energy-drinks,473ML BT RED BULL ENERGY DRINK,e,195.0,0.0,0,11,11,0,0.0,0.1
energy-drinks,Celsius Tropical Vibe,c,11.8,0.0,0,0,0,,0.0,0.0
energy-drinks,Monster Juiced,e,200.0,0.0,,12,11.2,,0.0,0.12
energy-drinks,Red Bull Sugarfree,c,12.4,0.0,,0,,,0.0,0.102
energy-drinks,Energy Zero Sugar,c,15.0,0.0,,1,0,,0.0,0.19
energy-drinks,Red Bull The Apricot Edition Goût abricot-fraise,e,191.0,0.0,0,11,11,0,0.0,0.1
energy-drinks,Kokos Blaubeere (Weiß),e,188.0,0.0,,11,11,,0.0,0.1
energy-drinks,Lucozade Energy Orange,d,146.0,0.0,,8.4,4.5,,0.0,0.0015
energy-drinks,hel  energy cof s,c,138.0,0.8,0.5,3.8,3.5,,2.6,0.079
energy-drinks,Curuba-Holunderblüte Summer-Edition,e,188.0,0.0,0,11,11,,0.0,0.039
energy-drinks,Sting Energy drink,e,176.0,0.0,0,11,10,0,0.0,4.0
energy-drinks,Original Energy Drink,d,185.0,0.0,,11.7,10.5,10.5,0.0,0.106
energy-drinks,Celsius Peach Vibe,c,11.8,0.0,,0.563,0,,0.0,0.00352
energy-drinks,Monster Ultra Paradise,c,12.0,0.0,0,0.9,0,0,0.0,0.16
energy-drinks,Ultra Zero Sugar,c,1.6,0.0,,0.18,0,,0.0,0.0395
energy-drinks,Monster Energy,e,201.0,0.0,0,12,11,,0.0,0.19
energy-drinks,Monster Mango Loco,e,200.0,0.0,,12,11.2,,0.0,0.12
energy-drinks,Tenzing Pineapple and Passionfruit,c,80.0,0.0,0,4.5,4.5,,0.0,0.1
energy-drinks,Nalu vert,d,84.0,0.0,0,4.7,4.7,0,0.0,0.0
energy-drinks,Classic,e,201.0,0.0,0,12,11,0,0.0,0.19
energy-drinks,Énergie drink,c,8.0,0.0,0,0.1,0.1,0,0.1,0.23
energy-drinks,Hell strong Apple,e,192.0,0.0,,11,11,,0.0,0.1975
energy-drinks,Redbull,e,192.0,0.0,,11,11,,0.0,0.0975
energy-drinks,Redbull,e,192.0,0.0,0,11,11,0,0.0,0.1975
energy-drinks,Power horse,e,201.0,0.0,0,11,11,0,0.0,0.15
energy-drinks,Redbull Juneberry,c,57.0,0.0,,3.33,3.33,,0.0,0.0758
energy-drinks,Monster Monarch Juiced,e,155.0,0.0,0,9.3,8.7,,0.0,0.1
energy-drinks,Monster Energy - Ultra Watermelon,c,13.0,0.0,0,1.3,0,,0.0,0.1
energy-drinks,Enrgy Drnk - Original,e,193.0,0.0,0,10.8,10.7,0,0.0,0.16
energy-drinks,Tenzing - Raspberry & Yuzu,c,80.0,0.0,0,4.5,4.5,,0.0,0.1
energy-drinks,Power,e,188.0,0.0,0,10,10,0.5,0.39,0.15
energy-drinks,Blue Raspberry Flavour,c,17.0,0.0,0,1,0.5,,0.0,0.02
energy-drinks,Red Bull - Green Edition - Goût fruit du dragon,e,192.0,0.0,0,11,11,,0.0,0.1
energy-drinks,White Édition - Coco Acaï,e,191.0,0.0,0,11,11,0,0.0,0.01
energy-drinks,Burn Energy Drink,e,263.0,0.0,0,16,15,,0.0,0.1
energy-drinks,Sparkling Wild Berry,c,12.0,0.0,0,0,0,0,0.0,0.003525
energy-drinks,Red Bull Sugar free,c,16.8,0.0,,0.8,0,,0.0,0.105
energy-drinks,,e,202.0,0.5,0.1,11,11,,0.5,0.01
energy-drinks,Kaktus,e,192.0,0.0,0,11,11,0,0.0,0.1
energy-drinks,Siti Energy Drink,e,184.0,0.0,0,10.5,10.5,,0.0,0.2
energy-drinks,Monster Rehab Tea+peach+ Energy,c,44.0,0.1,0.1,2.2,2.1,,0.1,0.12
energy-drinks,,e,184.0,0.0,0,10.3,10.3,0,0.0,0.2
energy-drinks,Crazy Tiger Energy Drink,d,88.0,0.0,0,4.4,4.4,0,0.5,0.2
energy-drinks,Activevitamin,c,46.0,0.0,0,2.1,2,,0.0,0.0
energy-drinks,Ultra paradise,b,13.0,0.0,0,0,0,,0.0,0.0
energy-drinks,,c,100.0,0.0,0,6,3.9,,0.5,0.13
